"Bus","No","Time (abs)","State","ID (hex)","DLC","Data (hex)","ASCII"
"USB-to-CAN compact  CAN-1","1","20:54:45.573","      ","  0","2","80 00",".."
"USB-to-CAN compact  CAN-1","2","20:54:45.573","      ","  0","2","80 00",".."
"USB-to-CAN compact  CAN-1","3","20:54:45.574","      ","  0","2","80 00",".."
"USB-to-CAN compact  CAN-1","4","20:54:45.574","      ","  0","2","80 00",".."
"USB-to-CAN compact  CAN-1","5","20:54:45.574","      ","  0","2","80 00",".."
"USB-to-CAN compact  CAN-1","6","20:54:45.639","      ","601","8","40 18 10 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","7","20:54:45.640","      ","581","8","43 18 10 01 F5 03 00 00","C......."
"USB-to-CAN compact  CAN-1","8","20:54:45.640","      ","601","8","40 18 10 02 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","9","20:54:45.641","      ","581","8","43 18 10 02 09 00 00 01","C......."
"USB-to-CAN compact  CAN-1","10","20:54:45.641","      ","601","8","40 18 10 03 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","11","20:54:45.642","      ","581","8","43 18 10 03 01 00 00 00","C......."
"USB-to-CAN compact  CAN-1","12","20:54:45.642","      ","601","8","40 18 10 04 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","13","20:54:45.643","      ","581","8","43 18 10 04 5C 76 5E 46","C...\v^F"
"USB-to-CAN compact  CAN-1","14","20:54:45.643","      ","601","8","40 08 10 00 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","15","20:54:45.644","      ","581","8","41 08 10 00 0F 00 00 00","A......."
"USB-to-CAN compact  CAN-1","16","20:54:45.644","      ","601","8","60 00 00 00 00 00 00 00","`......."
"USB-to-CAN compact  CAN-1","17","20:54:45.645","      ","581","8","00 57 69 6C 6C 31 2D 44",".Will1-D"
"USB-to-CAN compact  CAN-1","18","20:54:45.645","      ","601","8","70 00 00 00 00 00 00 00","p......."
"USB-to-CAN compact  CAN-1","19","20:54:45.646","      ","581","8","10 36 2F 34 38 2D 41 42",".6/48-AB"
"USB-to-CAN compact  CAN-1","20","20:54:45.646","      ","601","8","60 00 00 00 00 00 00 00","`......."
"USB-to-CAN compact  CAN-1","21","20:54:45.647","      ","581","8","0D 5A 00 00 00 00 00 00",".Z......"
"USB-to-CAN compact  CAN-1","22","20:54:45.647","      ","601","8","40 00 10 00 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","23","20:54:45.648","      ","581","8","43 00 10 00 92 01 42 00","C.....B."
"USB-to-CAN compact  CAN-1","24","20:54:45.648","      ","601","8","40 00 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","25","20:54:45.649","      ","581","8","43 00 14 01 01 02 00 00","C......."
"USB-to-CAN compact  CAN-1","26","20:54:45.649","      ","601","8","40 00 14 02 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","27","20:54:45.650","      ","581","8","4F 00 14 02 FF 02 00 00","O......."
"USB-to-CAN compact  CAN-1","28","20:54:45.650","      ","601","8","40 00 14 03 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","29","20:54:45.651","      ","581","8","80 00 14 03 11 00 09 06","........"
"USB-to-CAN compact  CAN-1","30","20:54:45.651","      ","601","8","40 00 16 00 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","31","20:54:45.652","      ","581","8","4F 00 16 00 01 02 00 00","O......."
"USB-to-CAN compact  CAN-1","32","20:54:45.652","      ","601","8","40 00 16 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","33","20:54:45.653","      ","581","8","43 00 16 01 10 00 40 60","C.....@`"
"USB-to-CAN compact  CAN-1","34","20:54:45.653","      ","601","8","40 01 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","35","20:54:45.654","      ","581","8","43 01 14 01 01 03 00 80","C......."
"USB-to-CAN compact  CAN-1","36","20:54:45.655","      ","601","8","40 02 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","37","20:54:45.656","      ","581","8","43 02 14 01 01 04 00 80","C......."
"USB-to-CAN compact  CAN-1","38","20:54:45.656","      ","601","8","40 03 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","39","20:54:45.657","      ","581","8","43 03 14 01 01 05 00 80","C......."
"USB-to-CAN compact  CAN-1","40","20:54:45.657","      ","601","8","40 04 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","41","20:54:45.658","      ","581","8","80 04 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","42","20:54:45.659","      ","601","8","40 05 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","43","20:54:45.660","      ","581","8","80 05 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","44","20:54:45.660","      ","601","8","40 06 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","45","20:54:45.661","      ","581","8","80 06 14 01 00 00 02 06","........"
"USB-to-CAN compact  CAN-1","46","20:54:45.661","      ","601","8","40 07 14 01 00 00 00 00","@......."
"USB-to-CAN compact  CAN-1","47","20:54:45.662","      ","581","8","80 07 14 01 00 00 02 06","........"
